folder,title,version,api_version,is_library,depends_on,optional_depends_on,description,manifest_path,esoui_url,esoui_category,code_summary_path,functionality_notes,enabled,enablement_steps,out_of_date,missing_deps,purpose_tags,vanilla_status,source
CombatMetrics,,,,no,,,,,,,data/addon_summaries/CombatMetrics.txt,[code-scan] LAM=no hooks=no lua=15 slash_tokens~1 event_tokens~0,yes,,,,combat_ui,unknown,folder
CraftStoreFixedAndImproved,CraftStore,3.00,101048 101049,no,LibBinaryEncode>=34 LibAddonMenu-2.0>=41 LibRecipe>=112,ItemSaver FCOItemSaver MasterMerchant TamrielTradeCentre LibChatMessage,"A tool for crafting research, with style and recipe tracking and new crafting interfaces.",CraftStoreFixedAndImproved/CraftStoreFixedAndImproved.txt,,,data/addon_summaries/CraftStoreFixedAndImproved.txt,"A tool for crafting research, with style and recipe tracking and new crafting interfaces. | [code-scan] LAM=yes hooks=no lua=10 slash_tokens~15 event_tokens~0",yes,,,,crafting,unknown,folder
CrutchAlerts,,,,no,,,,,,,data/addon_summaries/CrutchAlerts.txt,[code-scan] LAM=no hooks=yes lua=61 slash_tokens~1 event_tokens~20,yes,,,,combat_ui,unknown,folder
CustomCompassPins,,,,no,,,,,,,data/addon_summaries/CustomCompassPins.txt,[code-scan] LAM=no hooks=no lua=1 slash_tokens~0 event_tokens~0,yes,,,,maps_navigation,unknown,folder
DolgubonsLazyWritCreator,,,,no,,,,,,,data/addon_summaries/DolgubonsLazyWritCreator.txt,[code-scan] LAM=yes hooks=yes lua=28 slash_tokens~40 event_tokens~25,yes,,,,crafting,unknown,folder
Dustman,|c8B0000Dust|r|cE94A2Fman|r,10.9.1,101039,no,LibAddonMenu-2.0 LibResearch LibSets,,Automates management of unwanted items,Dustman/Dustman.txt,,,data/addon_summaries/Dustman.txt,Automates management of unwanted items | [code-scan] LAM=no hooks=yes lua=7 slash_tokens~0 event_tokens~7,yes,,,,inventory,unknown,folder
EssentialHousingTools,Essential Housing Tools,1775,101047,no,EssentialHousingCommunity HousingHub LibAddonMenu-2.0,DecoTrack LibGPS LibMapPing,"[REQUIRES EssentialHousingCommunity, HousingHub, LibAddonMenu] Tools that are |cb800f8Essential|r for ESO Housing ;)",EssentialHousingTools/EssentialHousingTools.txt,,,data/addon_summaries/EssentialHousingTools.txt,"[REQUIRES EssentialHousingCommunity, HousingHub, LibAddonMenu] Tools that are |cb800f8Essential|r for ESO Housing ;) | [code-scan] LAM=yes hooks=yes lua=29 slash_tokens~41 event_tokens~41",yes,,,,housing,unknown,folder
HarvestMap,|cFF0000HarvestMap|r,,101049 101050,no,,,The AddOn was installed incorrectly.,HarvestMap/HarvestMap.txt,,,data/addon_summaries/HarvestMap.txt,The AddOn was installed incorrectly. | [code-scan] LAM=yes hooks=yes lua=57 slash_tokens~2 event_tokens~8,yes,,,,maps_navigation,unknown,folder
HarvestMapData,,,,no,,,,,,,data/addon_summaries/HarvestMapData.txt,[code-scan] LAM=no hooks=no lua=5 slash_tokens~0 event_tokens~0,yes,,,,maps_navigation,unknown,folder
IIfA,Inventory Insight,3.93,101046 101047,no,LibCustomMenu>=730 LibAsync>=30002 LibAddonMenu-2.0>=40 LibMediaProvider>=35,LibFilters-3.0 pChat FCOItemSaver LibDebugLogger DebugLogViewer PerfectPixel,,IIfA/IIfA.txt,,,data/addon_summaries/IIfA.txt,[code-scan] LAM=yes hooks=yes lua=15 slash_tokens~1 event_tokens~16,yes,See data/audit_remediation.md §2 (bank + value). Enable bank in settings; set TTC/MM price integration per IIfA and global economy add-ons.,,,inventory,unknown,folder
InfoPanel,|c4B8BFEInfo Panel|r,1.62,101049,no,,LibAddonMenu-2.0 BanditsUserInterface,,InfoPanel/InfoPanel.txt,,,data/addon_summaries/InfoPanel.txt,[code-scan] LAM=no hooks=no lua=1 slash_tokens~1 event_tokens~27,yes,,,,misc_or_unclassified,unknown,folder
ItemBrowser,,,,no,,,,,,,data/addon_summaries/ItemBrowser.txt,[code-scan] LAM=yes hooks=yes lua=22 slash_tokens~0 event_tokens~5,yes,,,,misc_or_unclassified,unknown,folder
LeadList,LeadList,49.0.4,101049,no,,,Displays Antiquity Leads with Location Data,LeadList/LeadList.txt,,,data/addon_summaries/LeadList.txt,Displays Antiquity Leads with Location Data | [code-scan] LAM=no hooks=no lua=15 slash_tokens~2 event_tokens~1,yes,,,,misc_or_unclassified,unknown,folder
Lib3D,Lib3D-v3,3.12,100029 100030,yes,LibGPS LibMapPing,,,Lib3D/Lib3D.txt,,,data/addon_summaries/Lib3D.txt,[code-scan] LAM=no hooks=no lua=3 slash_tokens~0 event_tokens~4,no,,,,library,unknown,folder
LibAddonMenu-2.0,,,,yes,,,,,,,data/addon_summaries/LibAddonMenu-2.0.txt,[code-scan] LAM=yes hooks=yes lua=16 slash_tokens~0 event_tokens~1,yes,,,,library,unknown,folder
LibAddonMenuSoundSlider,LibAddonMenu-2.0 - Sound slider widget,6,101048 101049,yes,LibAddonMenu-2.0>=41,,A sound selection slider widget for the library LibAddonMenu-2.0,LibAddonMenuSoundSlider/LibAddonMenuSoundSlider.txt,,,data/addon_summaries/LibAddonMenuSoundSlider.txt,A sound selection slider widget for the library LibAddonMenu-2.0 | [code-scan] LAM=no hooks=no lua=1 slash_tokens~0 event_tokens~0,yes,,,,library,unknown,folder
LibAlchemy,LibAlchemy,2.6,101047 101048,yes,LibPrice>=70530,LibDebugLogger DebugLogViewer,,LibAlchemy/LibAlchemy.txt,,,data/addon_summaries/LibAlchemy.txt,[code-scan] LAM=no hooks=no lua=3 slash_tokens~0 event_tokens~0,yes,,,,library crafting,unknown,folder
LibAlchemyStation,LibAlchemyStation,3.4.5,101037 101038,yes,,LibAddonMenu-2.0 LibHarvensAddonSettings,Library to add tabs to the Alchemy crafting station.,LibAlchemyStation/LibAlchemyStation.txt,,,data/addon_summaries/LibAlchemyStation.txt,Library to add tabs to the Alchemy crafting station. | [code-scan] LAM=no hooks=no lua=1 slash_tokens~0 event_tokens~0,yes,,,,library crafting,unknown,folder
LibAnimation-1.0,LibAnimation-1.0,2.3,101032 101033,yes,,,Library to use animations,LibAnimation-1.0/LibAnimation-1.0.txt,,,data/addon_summaries/LibAnimation-1.0.txt,Library to use animations | [code-scan] LAM=no hooks=no lua=1 slash_tokens~0 event_tokens~0,yes,,,,library,unknown,folder
LibAsync,,,,yes,,,,,,,data/addon_summaries/LibAsync.txt,[code-scan] LAM=no hooks=no lua=2 slash_tokens~3 event_tokens~0,yes,,,,library,unknown,folder
LibBinaryEncode,LibBinaryEncode,1.34,101033,yes,,,Allows encoding binary to compress it.,LibBinaryEncode/LibBinaryEncode.txt,,,data/addon_summaries/LibBinaryEncode.txt,Allows encoding binary to compress it. | [code-scan] LAM=no hooks=no lua=1 slash_tokens~0 event_tokens~1,yes,,,,library,unknown,folder
LibCharacterKnowledge,,,,yes,,,,,,,data/addon_summaries/LibCharacterKnowledge.txt,[code-scan] LAM=yes hooks=no lua=16 slash_tokens~1 event_tokens~13,yes,,,,library collectibles_knowledge,unknown,folder
LibChatMessage,,,,yes,,,,,,,data/addon_summaries/LibChatMessage.txt,[code-scan] LAM=no hooks=yes lua=3 slash_tokens~1 event_tokens~2,yes,,,,library chat,unknown,folder
LibCombat,,87,101048 101049,yes,,LibDebugLogger,This library handles the data collection of combat events for addons like CombatMetrics and GroupDamageShare,LibCombat/LibCombat.txt,,,data/addon_summaries/LibCombat.txt,This library handles the data collection of combat events for addons like CombatMetrics and GroupDamageShare | [code-scan] LAM=no hooks=no lua=2 slash_tokens~0 event_tokens~1,yes,,,,library combat_ui,unknown,folder
LibCustomMenu,LibCustomMenu,7.3.0,101044 101045,yes,,,"Fixes in-game bug that causes ""Access a private function from insecure code"" created by custom context-menu items. Adds support for sub-menu and divider.",LibCustomMenu/LibCustomMenu.txt,,,data/addon_summaries/LibCustomMenu.txt,"Fixes in-game bug that causes ""Access a private function from insecure code"" created by custom context-menu items. Adds support for sub-menu and divider. | [code-scan] LAM=no hooks=no lua=1 slash_tokens~0 event_tokens~3",yes,,,,library,unknown,folder
LibDataEncode,,2,101044 101045,yes,,LibDebugLogger,Library to allow encoding of arbitrary lua tables into strings.,LibDataEncode/LibDataEncode.txt,,,data/addon_summaries/LibDataEncode.txt,Library to allow encoding of arbitrary lua tables into strings. | [code-scan] LAM=no hooks=no lua=1 slash_tokens~0 event_tokens~0,yes,,,,library,unknown,folder
LibDateTime,,,,yes,,,,,,,data/addon_summaries/LibDateTime.txt,[code-scan] LAM=no hooks=no lua=2 slash_tokens~0 event_tokens~0,yes,,,,library,unknown,folder
LibDebugLogger,,,,yes,,,,,,,data/addon_summaries/LibDebugLogger.txt,[code-scan] LAM=no hooks=yes lua=11 slash_tokens~1 event_tokens~4,yes,,,,library,unknown,folder
LibDialog,LibDialog,1.27,101039 101040,yes,,,"Shows a confirmation dialog with 2 buttons and customizable title, text and button callback functions",LibDialog/LibDialog.txt,,,data/addon_summaries/LibDialog.txt,"Shows a confirmation dialog with 2 buttons and customizable title, text and button callback functions | [code-scan] LAM=no hooks=no lua=1 slash_tokens~0 event_tokens~1",yes,,,,library,unknown,folder
LibExtendedJournal,,,,yes,,,,,,,data/addon_summaries/LibExtendedJournal.txt,[code-scan] LAM=no hooks=no lua=11 slash_tokens~0 event_tokens~3,yes,,,,library,unknown,folder
LibFilters-3.0,,,,yes,,,,,,,data/addon_summaries/LibFilters-3.0.txt,[code-scan] LAM=no hooks=yes lua=11 slash_tokens~12 event_tokens~0,yes,,,,library inventory,unknown,folder
LibGetText,,,,yes,,,,,,,data/addon_summaries/LibGetText.txt,[code-scan] LAM=no hooks=no lua=1 slash_tokens~0 event_tokens~0,yes,,,,library,unknown,folder
LibGPS,,,,yes,,,,,,,data/addon_summaries/LibGPS.txt,[code-scan] LAM=no hooks=no lua=8 slash_tokens~1 event_tokens~1,yes,,,,library,unknown,folder
LibGuildRoster,LibGuildRoster,1.0.3,101038,yes,,,,LibGuildRoster/LibGuildRoster.txt,,,data/addon_summaries/LibGuildRoster.txt,[code-scan] LAM=no hooks=yes lua=1 slash_tokens~0 event_tokens~2,yes,,,,library economy_tracking,unknown,folder
LibHarvensAddonSettings,,,,yes,,,,,,,data/addon_summaries/LibHarvensAddonSettings.txt,[code-scan] LAM=no hooks=no lua=2 slash_tokens~0 event_tokens~0,yes,,,,library,unknown,folder
LibHistoire,,,,yes,,,,,,,data/addon_summaries/LibHistoire.txt,[code-scan] LAM=yes hooks=yes lua=22 slash_tokens~0 event_tokens~1,yes,,,,library,unknown,folder
LibId64,,,,yes,,,,,,,data/addon_summaries/LibId64.txt,[code-scan] LAM=no hooks=no lua=4 slash_tokens~0 event_tokens~0,yes,,,,library,unknown,folder
LibItemLink,LibItemLink,9.4.0,100031 100032,yes,,,,LibItemLink/LibItemLink.txt,,,data/addon_summaries/LibItemLink.txt,[code-scan] LAM=no hooks=no lua=2 slash_tokens~0 event_tokens~0,yes,,,,library,unknown,folder
LibLazyCrafting,,,,yes,,,,,,,data/addon_summaries/LibLazyCrafting.txt,[code-scan] LAM=no hooks=no lua=7 slash_tokens~2 event_tokens~6,yes,,,,library crafting,unknown,folder
LibLootSummary,,,,yes,,,,,,,data/addon_summaries/LibLootSummary.txt,[code-scan] LAM=no hooks=no lua=7 slash_tokens~0 event_tokens~0,yes,,,,library,unknown,folder
LibMainMenu-2.0,,,,yes,,,,,,,data/addon_summaries/LibMainMenu-2.0.txt,[code-scan] LAM=no hooks=no lua=1 slash_tokens~0 event_tokens~1,yes,,,,library,unknown,folder
LibMapData,,,,yes,,,,,,,data/addon_summaries/LibMapData.txt,[code-scan] LAM=no hooks=yes lua=2 slash_tokens~1 event_tokens~8,yes,,,,library maps_navigation,unknown,folder
LibMapPing,,,,yes,,,,,,,data/addon_summaries/LibMapPing.txt,[code-scan] LAM=no hooks=no lua=6 slash_tokens~0 event_tokens~1,yes,,,,library maps_navigation,unknown,folder
LibMapPins-1.0,,,,yes,,,,,,,data/addon_summaries/LibMapPins-1.0.txt,[code-scan] LAM=no hooks=yes lua=2 slash_tokens~3 event_tokens~1,yes,,,,library maps_navigation,unknown,folder
LibMediaProvider,,,,yes,,,,,,,data/addon_summaries/LibMediaProvider.txt,[code-scan] LAM=no hooks=no lua=1 slash_tokens~0 event_tokens~0,yes,,,,library,unknown,folder
LibMotif,LibMotif 7.3.1,7.3.1,101033,yes,LibCharacterKnowledge,,Provide data about motifs that is not easily available via ESO API.,LibMotif/LibMotif.txt,,,data/addon_summaries/LibMotif.txt,Provide data about motifs that is not easily available via ESO API. | [code-scan] LAM=no hooks=no lua=2 slash_tokens~0 event_tokens~0,yes,,,,library collectibles_knowledge,unknown,folder
LibMultiAccountSets,,,,yes,,,,,,,data/addon_summaries/LibMultiAccountSets.txt,[code-scan] LAM=yes hooks=no lua=9 slash_tokens~0 event_tokens~5,yes,,,,library,unknown,folder
LibNotification,,,,yes,,,,,,,data/addon_summaries/LibNotification.txt,[code-scan] LAM=no hooks=no lua=1 slash_tokens~0 event_tokens~0,yes,,,,library,unknown,folder
LibPrice,,,,yes,,,,,,,data/addon_summaries/LibPrice.txt,[code-scan] LAM=no hooks=no lua=2 slash_tokens~0 event_tokens~0,yes,,,,library economy_tracking,unknown,folder
LibPromises,,,,yes,,,,,,,data/addon_summaries/LibPromises.txt,[code-scan] LAM=no hooks=no lua=19 slash_tokens~0 event_tokens~0,yes,,,,library,unknown,folder
LibQRCode,,,,yes,,,,,,,data/addon_summaries/LibQRCode.txt,[code-scan] LAM=no hooks=no lua=2 slash_tokens~2 event_tokens~1,yes,,,,library,unknown,folder
LibQuestData,,,,yes,,,,,,,data/addon_summaries/LibQuestData.txt,[code-scan] LAM=no hooks=no lua=34 slash_tokens~0 event_tokens~5,yes,,,,library collectibles_knowledge,unknown,folder
LibRecipe,,,,yes,,,,,,,data/addon_summaries/LibRecipe.txt,[code-scan] LAM=no hooks=no lua=3 slash_tokens~0 event_tokens~1,yes,,,,library crafting,unknown,folder
LibResearch,libResearch,4.0r3,101042 101043,yes,,,,LibResearch/LibResearch.txt,,,data/addon_summaries/LibResearch.txt,[code-scan] LAM=no hooks=no lua=1 slash_tokens~0 event_tokens~0,yes,,,,library,unknown,folder
LibSavedVars,LibSavedVars,6.0.7,101031 101032,yes,,LibLua5.2,"A library to manage and migrate to addon settings that support scopes per server, per account and per character.",LibSavedVars/LibSavedVars.txt,,,data/addon_summaries/LibSavedVars.txt,"A library to manage and migrate to addon settings that support scopes per server, per account and per character. | [code-scan] LAM=no hooks=yes lua=10 slash_tokens~0 event_tokens~1",yes,,,,library,unknown,folder
LibScanner,LibScanner,2.1,101049,yes,,,Scans for missing/unused dependencies and outputs addon status in a UI window.,LibScanner/LibScanner.txt,,,data/addon_summaries/LibScanner.txt,Scans for missing/unused dependencies and outputs addon status in a UI window. | [code-scan] LAM=no hooks=no lua=1 slash_tokens~1 event_tokens~1,yes,,,,library,unknown,folder
LibScrollableMenu,LibScrollableMenu,2.42,101049 101050,yes,,LibCustomMenu LibDebugLogger,Adds scrollable menu&nested submenus functionality to combobox. Originally developed by Kyoma's Titlizer,LibScrollableMenu/LibScrollableMenu.txt,,,data/addon_summaries/LibScrollableMenu.txt,Adds scrollable menu&nested submenus functionality to combobox. Originally developed by Kyoma's Titlizer | [code-scan] LAM=no hooks=yes lua=18 slash_tokens~4 event_tokens~0,yes,,,,library,unknown,folder
LibSets,,,,yes,,,,,,,data/addon_summaries/LibSets.txt,[code-scan] LAM=yes hooks=yes lua=17 slash_tokens~15 event_tokens~0,yes,,,,library,unknown,folder
LibSlashCommander,,,,yes,,,,,,,data/addon_summaries/LibSlashCommander.txt,[code-scan] LAM=no hooks=yes lua=15 slash_tokens~0 event_tokens~0,yes,,,,library,unknown,folder
LibTextFilter,,,,yes,,,,,,,data/addon_summaries/LibTextFilter.txt,[code-scan] LAM=no hooks=no lua=2 slash_tokens~0 event_tokens~0,yes,,,,library inventory,unknown,folder
LibTreasure,,,,yes,,,,,,,data/addon_summaries/LibTreasure.txt,[code-scan] LAM=no hooks=no lua=4 slash_tokens~0 event_tokens~0,yes,,,,library,unknown,folder
LibUndauntedPledges,,,,yes,,,,,,,data/addon_summaries/LibUndauntedPledges.txt,[code-scan] LAM=no hooks=no lua=2 slash_tokens~0 event_tokens~0,yes,,,,library,unknown,folder
LibUnits2,,,,yes,,,,,,,data/addon_summaries/LibUnits2.txt,[code-scan] LAM=no hooks=no lua=1 slash_tokens~0 event_tokens~5,yes,,,,library,unknown,folder
LibZone,,,,yes,,,,,,,data/addon_summaries/LibZone.txt,[code-scan] LAM=no hooks=no lua=5 slash_tokens~1 event_tokens~1,yes,,,,library,unknown,folder
LootLog,,,,no,,,,,,,data/addon_summaries/LootLog.txt,[code-scan] LAM=yes hooks=yes lua=24 slash_tokens~0 event_tokens~9,yes,,,,economy_tracking,unknown,folder
LootLog_ILikeMoneyEdition_v02.zip,,,,,,,archive on disk; not a folder add-on,,,,,,,,,,archive_custom_fork_pending_deploy,unknown,archive
LoreBooks,,,,no,,,,,,,data/addon_summaries/LoreBooks.txt,[code-scan] LAM=no hooks=no lua=26 slash_tokens~0 event_tokens~3,yes,,,,collectibles_knowledge,unknown,folder
MapPins,,,,no,,,,,,,data/addon_summaries/MapPins.txt,[code-scan] LAM=no hooks=no lua=0 slash_tokens~0 event_tokens~0,yes,,,,maps_navigation,unknown,folder
MasterMerchant,Master Merchant 3.8.25 by Sharlikran,3.8.25,101048 101049,no,LibGuildStore>=105 LibDebugLogger>=294 LibAlchemy>=26 LibPrice>=70530,MasterWritInventoryMarker,"Tools for the Master Merchant: Sales History, Guild Sales Info, Pricing Assistance.",MasterMerchant/MasterMerchant.txt,,,data/addon_summaries/MasterMerchant.txt,"Tools for the Master Merchant: Sales History, Guild Sales Info, Pricing Assistance. | [code-scan] LAM=yes hooks=yes lua=68 slash_tokens~2 event_tokens~16",yes,See §2: MM data must be present; pick one primary tooltip price source to avoid overlap.,,,economy_tracking,unknown,folder
MasterWritInventoryMarker,Master Writ Inventory Marker (WritWorthy Extension),4.0.4,101049 101050,no,LibCharacterKnowledge>=300030,WritWorthy AdvancedFilters LibAddonMenu-2.0,Visually flag master writs that your character is capable of doing,MasterWritInventoryMarker/MasterWritInventoryMarker.txt,,,data/addon_summaries/MasterWritInventoryMarker.txt,Visually flag master writs that your character is capable of doing | [code-scan] LAM=yes hooks=no lua=1 slash_tokens~0 event_tokens~0,yes,,,,crafting inventory,unknown,folder
NoAccidentalStealing,NoAccidentalStealing,,101038,no,LibAddonMenu-2.0,,,NoAccidentalStealing/NoAccidentalStealing.txt,,,data/addon_summaries/NoAccidentalStealing.txt,[code-scan] LAM=no hooks=yes lua=7 slash_tokens~1 event_tokens~2,yes,,,,misc_or_unclassified,unknown,folder
OdySupportIcons,OdySupportIcons,1.13.3,101049,no,LibAddonMenu-2.0>=40 LibCustomMenu,LibCustomIcons,,OdySupportIcons/OdySupportIcons.txt,,,data/addon_summaries/OdySupportIcons.txt,[code-scan] LAM=yes hooks=no lua=14 slash_tokens~0 event_tokens~0,yes,,,,misc_or_unclassified,unknown,folder
pChat,pChat,10.0.7.3,101049 101050,no,LibAddonMenu-2.0>=41 LibAddonMenuSoundSlider>=6 LibCustomMenu>=730 LibDebugLogger>=268 LibMainMenu-2.0>=40400 LibMediaProvider>=36,LibCustomTitles LibChatMessage>=118 LibSlashCommander>=45,pChat overhauls the way text is displayed in the chatbox,pChat/pChat.txt,,,data/addon_summaries/pChat.txt,pChat overhauls the way text is displayed in the chatbox | [code-scan] LAM=no hooks=yes lua=24 slash_tokens~18 event_tokens~6,yes,,,,chat,unknown,folder
PithkaAchievementTracker,Pithka's Achievement Tracker,,101046,no,LibAddonMenu-2.0>=40 LibQRCode,,Achievement tracking addon with group finder integration. Requires: LibAddonMenu-2.0 and LibQRCode for full functionality.,PithkaAchievementTracker/PithkaAchievementTracker.txt,,,data/addon_summaries/PithkaAchievementTracker.txt,Achievement tracking addon with group finder integration. Requires: LibAddonMenu-2.0 and LibQRCode for full functionality. | [code-scan] LAM=no hooks=no lua=28 slash_tokens~3 event_tokens~9,yes,See data/audit_remediation.md §1 (achievements/chat). Verify LAM: enable progress or chat notifications; resolve conflicts with other achievement UIs.,,,collectibles_knowledge,unknown,folder
PotionMaker,Potion Maker (for Alchemy Crafting),5.10.2,101046 101047,no,LibAddonMenu-2.0>=39 LibAlchemyStation>=343 LibAsync>=20100 LibCustomMenu>=692 LibMainMenu-2.0>=432,MultiCraft,Gives feedback for what potions you can make with alchemy using the ingredients you have.,PotionMaker/PotionMaker.txt,,,data/addon_summaries/PotionMaker.txt,Gives feedback for what potions you can make with alchemy using the ingredients you have. | [code-scan] LAM=no hooks=yes lua=11 slash_tokens~1 event_tokens~6,yes,,,,misc_or_unclassified,unknown,folder
QuestMap,,,,no,,,,,,,data/addon_summaries/QuestMap.txt,[code-scan] LAM=no hooks=no lua=10 slash_tokens~0 event_tokens~3,yes,,,,maps_navigation collectibles_knowledge,unknown,folder
RaidNotifier,|cEFEBBERaidNotifier|r,2.30,101046,no,LibAddonMenu-2.0>=36 LibUnits2>=102 LibCSA>=210,LibGroupSocket>=13 LibStub>=7,Displays on-screen notifications on different events during trials.,RaidNotifier/RaidNotifier.txt,,,data/addon_summaries/RaidNotifier.txt,Displays on-screen notifications on different events during trials. | [code-scan] LAM=yes hooks=no lua=36 slash_tokens~3 event_tokens~18,yes,,,,combat_ui,unknown,folder
RareFishTracker,,,,no,,,,,,,data/addon_summaries/RareFishTracker.txt,[code-scan] LAM=no hooks=no lua=11 slash_tokens~3 event_tokens~2,yes,,,,misc_or_unclassified,unknown,folder
Roomba,,,,no,,,,,,,data/addon_summaries/Roomba.txt,[code-scan] LAM=yes hooks=yes lua=4 slash_tokens~0 event_tokens~8,yes,,,,misc_or_unclassified,unknown,folder
SnapShot,,,,no,,,,,,,data/addon_summaries/SnapShot.txt,[code-scan] LAM=no hooks=no lua=4 slash_tokens~1 event_tokens~5,yes,,,,misc_or_unclassified,unknown,folder
TamrielTradeCentre,Tamriel Trade Centre,4.27.281.39281,101049,no,LibAddonMenu-2.0>=40 LibCustomMenu>=730,AwesomeGuildStore LibHistoire,Addon for TamrielTradeCentre.com,TamrielTradeCentre/TamrielTradeCentre.txt,,,data/addon_summaries/TamrielTradeCentre.txt,Addon for TamrielTradeCentre.com | [code-scan] LAM=yes hooks=no lua=13 slash_tokens~1 event_tokens~6,yes,See §2: ensure TTC desktop client / pricing data; allow IIfA or tooltips to use TTC.,,,economy_tracking,unknown,folder
VotansFisherman,,,,no,,,,,,,data/addon_summaries/VotansFisherman.txt,[code-scan] LAM=no hooks=no lua=9 slash_tokens~3 event_tokens~0,yes,,,,misc_or_unclassified,unknown,folder
VotansImprovedLocations,Votan's Improved Locations,1.23.3,101045 101046,no,LibAddonMenu-2.0>=38,AccurateWorldMap,Adds additional information to location tab in world map.,VotansImprovedLocations/VotansImprovedLocations.txt,,,data/addon_summaries/VotansImprovedLocations.txt,Adds additional information to location tab in world map. | [code-scan] LAM=no hooks=no lua=8 slash_tokens~0 event_tokens~0,yes,,,,misc_or_unclassified,unknown,folder
VotansMiniMap,,,,no,,,,,,,data/addon_summaries/VotansMiniMap.txt,[code-scan] LAM=no hooks=yes lua=10 slash_tokens~1 event_tokens~1,yes,,,,maps_navigation,unknown,folder
WritWorthy,WritWorthy 7.5.6,7.5.6,101047 101048,no,LibAddonMenu-2.0>=41 LibPrice>=70530 LibLazyCrafting>=4028 LibSets>=806 LibCharacterKnowledge>=202010,LibCustomMenu AwesomeGuildStore LibSlashCommander LibDebugLogger HomeStationMarker,Master Writs: calculate material costs and automate crafting.,WritWorthy/WritWorthy.txt,,,data/addon_summaries/WritWorthy.txt,Master Writs: calculate material costs and automate crafting. | [code-scan] LAM=no hooks=yes lua=24 slash_tokens~1 event_tokens~7,yes,,,,crafting,unknown,folder
