folder,slash_commands,saved_vars_names,lam_panel,event_samples,hook_flags,create_control_count,lua_file_count,xml_file_count,summary_path
InfoPanel,/panel,,no,EVENT_ACHIEVEMENTS_UPDATED EVENT_ACHIEVEMENT_AWARDED EVENT_ACHIEVEMENT_UPDATED EVENT_ACTIVE_COMPANION_STATE_CHANGED EVENT_ACTIVE_WEAPON_PAIR_CHANGED EVENT_ADD_ON_LOADED EVENT_ALLIANCE_POINT_UPDATE EVENT_CLIENT_INTERACT_RESULT EVENT_CLOSE_BANK EVENT_CLOSE_STORE EVENT_COMPANION_EXPERIENCE_GAIN EVENT_COMPANION_RAPPORT_UPDATE EVENT_END_CRAFTING_STATION_INTERACT EVENT_EXPERIENCE_UPDATE EVENT_INVENTORY_FULL_UPDATE EVENT_INVENTORY_ITEM_DESTROYED EVENT_INVENTORY_SINGLE_SLOT_UPDATE EVENT_JUSTICE_FENCE_UPDATE EVENT_LOOT_RECEIVED EVENT_MAIL_NUM_UNREAD_CHANGED EVENT_OPEN_STORE EVENT_PLAYER_ACTIVATED EVENT_PLAYER_ALIVE EVENT_PLAYER_COMBAT_STATE EVENT_STABLE_INTERACT_END EVENT_TELVAR_STONE_UPDATE EVENT_UNIT_DEATH_STATE_CHANGED,no,0,1,1,data/addon_summaries/InfoPanel.txt
ItemBrowser,,,yes,EVENT_ADD_ON_LOADED EVENT_ITEM_SET_COLLECTIONS_UPDATED EVENT_ITEM_SET_COLLECTION_UPDATED EVENT_PLAYER_ACTIVATED NAME,yes,2,22,4,data/addon_summaries/ItemBrowser.txt
LeadList,/leadlist /leads,,no,EVENT_ADD_ON_LOADED,no,0,15,2,data/addon_summaries/LeadList.txt
Lib3D,,,no,EVENT_ADD_ON_LOADED EVENT_PLAYER_ACTIVATED EVENT_PLAYER_ALIVE EVENT_PLAYER_DEACTIVATED,no,0,3,0,data/addon_summaries/Lib3D.txt
LibAddonMenu-2.0,,,yes,EVENT_GLOBAL_MOUSE_UP,yes,28,16,0,data/addon_summaries/LibAddonMenu-2.0.txt
LibAddonMenuSoundSlider,,,no,,no,3,1,0,data/addon_summaries/LibAddonMenuSoundSlider.txt
LibAlchemy,,,no,,no,0,3,0,data/addon_summaries/LibAlchemy.txt
LibAlchemyStation,,,no,,no,0,1,0,data/addon_summaries/LibAlchemyStation.txt
LibAnimation-1.0,,,no,,no,0,1,0,data/addon_summaries/LibAnimation-1.0.txt
LibAsync,/async /libasynctest /libasynctests,,no,,no,0,2,0,data/addon_summaries/LibAsync.txt
LibBinaryEncode,,,no,EVENT_ADD_ON_LOADED,no,0,1,0,data/addon_summaries/LibBinaryEncode.txt
LibCharacterKnowledge,/lckstyles,,yes,EVENT_ARMORY_BUILD_RESTORE_RESPONSE EVENT_CRAFTED_ABILITY_LOCK_STATE_CHANGED EVENT_CRAFTED_ABILITY_SCRIPT_LOCK_STATE_CHANGED EVENT_MULTIPLE_RECIPES_LEARNED EVENT_PLAYER_ACTIVATED EVENT_RECIPE_LEARNED EVENT_SKILL_RESPEC_RESULT EVENT_SMITHING_TRAIT_RESEARCH_CANCELED EVENT_SMITHING_TRAIT_RESEARCH_COMPLETED EVENT_SMITHING_TRAIT_RESEARCH_STARTED EVENT_SMITHING_TRAIT_RESEARCH_TIMES_UPDATED EVENT_STYLE_LEARNED NAME,no,0,16,0,data/addon_summaries/LibCharacterKnowledge.txt
LibChatMessage,/chatmessage,,no,EVENT_ADD_ON_LOADED EVENT_PLAYER_ACTIVATED,yes,0,3,0,data/addon_summaries/LibChatMessage.txt
LibCombat,,,no,event,no,0,2,0,data/addon_summaries/LibCombat.txt
LibCustomMenu,,,no,EVENT_ADD_ON_LOADED EVENT_GLOBAL_MOUSE_UP EVENT_PLAYER_ACTIVATED,no,11,1,0,data/addon_summaries/LibCustomMenu.txt
LibDataEncode,,,no,,no,0,1,0,data/addon_summaries/LibDataEncode.txt
LibDateTime,,,no,,no,0,2,0,data/addon_summaries/LibDateTime.txt
LibDebugLogger,/debuglogger,,no,EVENT_ADD_ON_LOADED EVENT_LUA_ERROR EVENT_PLAYER_ACTIVATED EVENT_PLAYER_DEACTIVATED,yes,0,11,0,data/addon_summaries/LibDebugLogger.txt
LibDialog,,,no,EVENT_ADD_ON_LOADED,no,0,1,0,data/addon_summaries/LibDialog.txt
LibExtendedJournal,,,no,EVENT_ADD_ON_LOADED EVENT_PLAYER_ACTIVATED NAME,no,2,11,2,data/addon_summaries/LibExtendedJournal.txt
LibFilters-3.0,/lfdebug /lftestalchemy /lftestbankwithdraw /lftestcraftbag /lftestenchant /lftestfilters /lftestguildbankwithdraw /lftesthousebankwithdraw /lftestinv /lftestresearchdialog /lfverboseasdebug /libfiltersdebug,,no,,yes,10,11,1,data/addon_summaries/LibFilters-3.0.txt
LibGetText,,,no,,no,0,1,0,data/addon_summaries/LibGetText.txt
LibGPS,/libgpsreset,,no,EVENT_ADD_ON_LOADED,no,0,8,0,data/addon_summaries/LibGPS.txt
LibGuildRoster,,,no,EVENT_ADD_ON_LOADED EVENT_PLAYER_ACTIVATED,yes,2,1,0,data/addon_summaries/LibGuildRoster.txt
LibHarvensAddonSettings,,,no,,no,1,2,1,data/addon_summaries/LibHarvensAddonSettings.txt
LibHistoire,,,yes,event,yes,3,22,1,data/addon_summaries/LibHistoire.txt
LibId64,,,no,,no,0,4,0,data/addon_summaries/LibId64.txt
LibItemLink,,,no,,no,0,2,0,data/addon_summaries/LibItemLink.txt
LibLazyCrafting,/llcsoundoff /memorycheck,,no,EVENT_ADD_ON_LOADED EVENT_CRAFTING_STATION_INTERACT EVENT_CRAFT_COMPLETED EVENT_END_CRAFTING_STATION_INTERACT EVENT_INVENTORY_SINGLE_SLOT_UPDATE EVENT_PLAYER_ACTIVATED,no,0,7,0,data/addon_summaries/LibLazyCrafting.txt
LibLootSummary,,,no,,no,0,7,0,data/addon_summaries/LibLootSummary.txt
LibMainMenu-2.0,,,no,EVENT_SECURE_RENDER_MODE_CHANGED,no,3,1,0,data/addon_summaries/LibMainMenu-2.0.txt
LibMapData,/lmdgetpos,,no,EVENT_ADD_ON_LOADED EVENT_CLIENT_INTERACT_RESULT EVENT_LINKED_WORLD_POSITION_CHANGED EVENT_PLAYER_ACTIVATED EVENT_PLAYER_DEACTIVATED EVENT_PREPARE_FOR_JUMP EVENT_QUEST_SHARED EVENT_ZONE_CHANGED,yes,0,2,0,data/addon_summaries/LibMapData.txt
LibMapPing,,,no,event,no,0,6,0,data/addon_summaries/LibMapPing.txt
LibMapPins-1.0,/lmploc /lmppins /pinlist,,no,EVENT_ADD_ON_LOADED,yes,0,2,0,data/addon_summaries/LibMapPins-1.0.txt
LibMediaProvider,,,no,,no,0,1,4,data/addon_summaries/LibMediaProvider.txt
LibMotif,,,no,,no,0,2,0,data/addon_summaries/LibMotif.txt
LibMultiAccountSets,,,yes,EVENT_ADD_ON_LOADED EVENT_ITEM_SET_COLLECTIONS_UPDATED EVENT_ITEM_SET_COLLECTION_UPDATED EVENT_PLAYER_ACTIVATED NAME,no,0,9,0,data/addon_summaries/LibMultiAccountSets.txt
LibNotification,,,no,,no,0,1,0,data/addon_summaries/LibNotification.txt
LibPrice,,,no,,no,0,2,0,data/addon_summaries/LibPrice.txt
LibPromises,,,no,,no,0,19,0,data/addon_summaries/LibPromises.txt
LibQRCode,/qrcode /qrcodetest,,no,EVENT_ADD_ON_LOADED,no,1,2,0,data/addon_summaries/LibQRCode.txt
LibQuestData,,,no,EVENT_ADD_ON_LOADED EVENT_PLAYER_ACTIVATED EVENT_QUEST_ADDED EVENT_QUEST_REMOVED EVENT_SKILL_RANK_UPDATE,no,0,34,0,data/addon_summaries/LibQuestData.txt
LibRecipe,,,no,EVENT_ADD_ON_LOADED,no,0,3,0,data/addon_summaries/LibRecipe.txt
LibResearch,,,no,,no,0,1,0,data/addon_summaries/LibResearch.txt
LibSavedVars,,PTS version,no,EVENT_ADD_ON_LOADED,yes,0,10,0,data/addon_summaries/LibSavedVars.txt
LibScanner,/libscan,,no,EVENT_ADD_ON_LOADED,no,0,1,1,data/addon_summaries/LibScanner.txt
LibScrollableMenu,/lsmdebug /lsmdebugverbose /lsmtest /lsmtest2,,no,,yes,6,18,1,data/addon_summaries/LibScrollableMenu.txt
LibSets,/chapters /dlcs /dlcsandchapters /libsets /libsetschapters /libsetsdlcs /libsetsdlcsandchapters /libsetspreview /libsetssearch /ls /lsp /lss /setpreview /sets /setsp,,yes,,yes,0,17,3,data/addon_summaries/LibSets.txt
LibSlashCommander,,,no,,yes,0,15,0,data/addon_summaries/LibSlashCommander.txt
LibTextFilter,,,no,,no,0,2,0,data/addon_summaries/LibTextFilter.txt
LibTreasure,,,no,,no,0,4,0,data/addon_summaries/LibTreasure.txt
LibUndauntedPledges,,,no,,no,0,2,0,data/addon_summaries/LibUndauntedPledges.txt
LibUnits2,,,no,EVENT_BOSSES_CHANGED EVENT_EFFECT_CHANGED EVENT_GROUP_MEMBER_JOINED EVENT_GROUP_MEMBER_LEFT EVENT_GROUP_UPDATE,no,0,1,0,data/addon_summaries/LibUnits2.txt
LibZone,/lzt,,no,EVENT_ADD_ON_LOADED,no,0,5,0,data/addon_summaries/LibZone.txt
LootLog,,,yes,EVENT_ADD_ON_LOADED EVENT_CHAT_MESSAGE_CHANNEL EVENT_COLLECTIBLES_UNLOCK_STATE_CHANGED EVENT_INVENTORY_SINGLE_SLOT_UPDATE EVENT_ITEM_SET_COLLECTIONS_UPDATED EVENT_ITEM_SET_COLLECTION_UPDATED EVENT_LOOT_RECEIVED EVENT_PLAYER_ACTIVATED NAME,yes,2,24,4,data/addon_summaries/LootLog.txt
LoreBooks,,,no,EVENT_ADD_ON_LOADED EVENT_GAMEPAD_PREFERRED_MODE_CHANGED EVENT_LORE_BOOK_LEARNED,no,0,26,0,data/addon_summaries/LoreBooks.txt
MapPins,,,no,,no,0,0,0,data/addon_summaries/MapPins.txt
MasterMerchant,/lgs /mm,,yes,EVENT_ADD_ON_LOADED EVENT_CLOSE_BANK EVENT_CLOSE_GUILD_BANK EVENT_CLOSE_STORE EVENT_CLOSE_TRADING_HOUSE EVENT_END_CRAFTING_STATION_INTERACT EVENT_GUILD_MEMBER_ADDED EVENT_GUILD_MEMBER_REMOVED EVENT_GUILD_SELF_JOINED_GUILD EVENT_GUILD_SELF_LEFT_GUILD EVENT_MAIL_CLOSE_MAILBOX EVENT_PLAYER_ACTIVATED EVENT_TRADING_HOUSE_CONFIRM_ITEM_PURCHASE EVENT_TRADING_HOUSE_PENDING_ITEM_UPDATE EVENT_TRADING_HOUSE_RESPONSE_RECEIVED EVENT_TRADING_HOUSE_SELECTED_GUILD_CHANGED,yes,7,68,16,data/addon_summaries/MasterMerchant.txt
MasterWritInventoryMarker,,,yes,,no,0,1,0,data/addon_summaries/MasterWritInventoryMarker.txt
NoAccidentalStealing,/stealtimeframe,,no,EVENT_ADD_ON_LOADED EVENT_PLAYER_COMBAT_STATE,yes,1,7,1,data/addon_summaries/NoAccidentalStealing.txt
OdySupportIcons,,,yes,,no,0,14,1,data/addon_summaries/OdySupportIcons.txt
pChat,/cmadd /cmdel /cmlist /cmwatch /msg /pchatdeleteoldsv /pchats /pchattpfr /pchattpg /pchattpgl /pchattpgm /pchattpp /pchattppl /tpfr /tpg /tpgl /tpgm /tpp,,no,EVENT_ADD_ON_LOADED EVENT_GUILD_MEMBER_ADDED EVENT_GUILD_MEMBER_REMOVED EVENT_GUILD_SELF_JOINED_GUILD EVENT_GUILD_SELF_LEFT_GUILD EVENT_PLAYER_ACTIVATED,yes,0,24,3,data/addon_summaries/pChat.txt
PithkaAchievementTracker,/4m /pat /pgf,,no,EVENT_ACHIEVEMENTS_SEARCH_RESULTS_READY EVENT_ADD_ON_LOADED EVENT_ENDLESS_DUNGEON_LEADERBOARD_DATA_RECEIVED EVENT_ENDLESS_DUNGEON_NEW_BEST_SCORE EVENT_GROUP_FINDER_APPLY_TO_GROUP_LISTING_RESULT EVENT_GROUP_FINDER_SEARCH_COMPLETE EVENT_GROUP_FINDER_SEARCH_RESULTS_READY EVENT_PLAYER_ACTIVATED EVENT_RAID_LEADERBOARD_DATA_RECEIVED,no,0,28,4,data/addon_summaries/PithkaAchievementTracker.txt
PotionMaker,/potionmaker,,no,EVENT_ADD_ON_LOADED EVENT_CRAFTING_STATION_INTERACT EVENT_CRAFT_COMPLETED EVENT_END_CRAFTING_STATION_INTERACT EVENT_INVENTORY_SINGLE_SLOT_UPDATE EVENT_SKILL_XP_UPDATE,yes,7,11,2,data/addon_summaries/PotionMaker.txt
QuestMap,,,no,EVENT_ADD_ON_LOADED EVENT_QUEST_ADDED EVENT_QUEST_REMOVED,no,0,10,0,data/addon_summaries/QuestMap.txt
RaidNotifier,/rndebug /rnstatus /rnulti,,yes,EVENT_ADD_ON_LOADED EVENT_BOSSES_CHANGED EVENT_COMBAT_EVENT EVENT_CURRENT_SUBZONE_LIST_CHANGED EVENT_EFFECT_CHANGED EVENT_GROUP_MEMBER_CONNECTED_STATUS EVENT_GROUP_MEMBER_JOINED EVENT_GROUP_MEMBER_LEFT EVENT_GROUP_MEMBER_ROLES_CHANGED EVENT_GROUP_UPDATE EVENT_PLAYER_ACTIVATED EVENT_PLAYER_COMBAT_STATE EVENT_RAID_TRIAL_COMPLETE EVENT_RAID_TRIAL_STARTED EVENT_UNIT_CREATED EVENT_UNIT_DESTROYED EVENT_WEAPON_PAIR_LOCK_CHANGED EVENT_ZONE_CHANGED,no,2,36,2,data/addon_summaries/RaidNotifier.txt
RareFishTracker,/reloadui /rftwindow /rftzone,,no,EVENT_ALL_GUI_SCREENS_RESIZED EVENT_PLAYER_COMBAT_STATE,no,1,11,1,data/addon_summaries/RareFishTracker.txt
Roomba,,,yes,EVENT_ADD_ON_LOADED EVENT_CLOSE_GUILD_BANK EVENT_GUILD_BANK_ITEMS_READY EVENT_GUILD_BANK_ITEM_ADDED EVENT_GUILD_BANK_SELECTED EVENT_GUILD_BANK_TRANSFER_ERROR EVENT_INVENTORY_SINGLE_SLOT_UPDATE EVENT_OPEN_GUILD_BANK,yes,0,4,2,data/addon_summaries/Roomba.txt
SnapShot,/snap,,no,EVENT_ADD_ON_LOADED EVENT_GUILD_HISTORY_CATEGORY_UPDATED EVENT_GUILD_SELF_JOINED_GUILD EVENT_GUILD_SELF_LEFT_GUILD EVENT_INVENTORY_SINGLE_SLOT_UPDATE,no,2,4,1,data/addon_summaries/SnapShot.txt
TamrielTradeCentre,/ttc,,yes,EVENT_ADD_ON_LOADED EVENT_CLOSE_TRADING_HOUSE EVENT_GUILD_HISTORY_CATEGORY_UPDATED EVENT_OPEN_TRADING_HOUSE EVENT_TRADING_HOUSE_CONFIRM_ITEM_PURCHASE EVENT_TRADING_HOUSE_RESPONSE_RECEIVED,no,0,13,1,data/addon_summaries/TamrielTradeCentre.txt
VotansFisherman,/vf /vfexport /vfimport,,no,,no,0,9,1,data/addon_summaries/VotansFisherman.txt
VotansImprovedLocations,,,no,,no,0,8,2,data/addon_summaries/VotansImprovedLocations.txt
VotansMiniMap,/reloadui,,no,EVENT_ALL_GUI_SCREENS_RESIZED,yes,0,10,2,data/addon_summaries/VotansMiniMap.txt
WritWorthy,/writworthy,,no,EVENT_ADD_ON_LOADED EVENT_CHATTER_BEGIN EVENT_QUEST_ADDED EVENT_QUEST_COMPLETE_DIALOG EVENT_QUEST_OFFERED event_code event_id,yes,1,24,2,data/addon_summaries/WritWorthy.txt
